t_ns,parent,child,tx,ty,tz,yaw
1771970308757262203,robot1/odom,robot1/base_link,6.032280657339603,3.6502177109231555,0.0,0.24470362323952807
1771970308821835335,robot1/odom,robot1/base_link,6.0497668462419,3.654584051129025,0.0,0.24469313858230946
1771970308916885529,robot1/odom,robot1/base_link,6.067196355100371,3.6589360393739647,0.0,0.24468214714358139
1771970308979379728,robot1/odom,robot1/base_link,6.084682637692446,3.663302004029482,0.0,0.24467166305788782
1771970309055925051,robot1/odom,robot1/base_link,6.1021122400505075,3.6676536179813595,0.0,0.2446606721635548
1771970309096782692,robot1/odom,robot1/base_link,6.119598616460266,3.6720192071387503,0.0,0.2446501886137551
1771970309131370163,robot1/odom,robot1/base_link,6.13702831235865,3.676370446827198,0.0,0.24463919822136712
1771970309173895662,robot1/odom,robot1/base_link,6.154514782497211,3.6807356604831387,0.0,0.24462871512760903
1771970309247091564,robot1/odom,robot1/base_link,6.171944571861659,3.6850865259052665,0.0,0.2446177250201132
1771970309321884530,robot1/odom,robot1/base_link,6.189431140835001,3.6894513656292816,0.0,0.24460727268766347
1771970309363610497,robot1/odom,robot1/base_link,6.206861018703519,3.693801855854555,0.0,0.24459625403105284
1771970309433148008,robot1/odom,robot1/base_link,6.224347676301044,3.698166318575144,0.0,0.244585771731311
1771970309494605704,robot1/odom,robot1/base_link,6.241777652652409,3.7025164355493403,0.0,0.244574782712996
1771970309558086429,robot1/odom,robot1/base_link,6.259264403961324,3.7068805228168533,0.0,0.24456430129423065
1771970309708546888,robot1/odom,robot1/base_link,6.276694474203206,3.711230265666111,0.0,0.24455331029315128
1771970309824910234,robot1/odom,robot1/base_link,6.294181319059808,3.7155939774241618,0.0,0.24454283030557128
1771970309885094838,robot1/odom,robot1/base_link,6.311611482337741,3.719943345969579,0.0,0.24453184211797208
1771970310001918745,robot1/odom,robot1/base_link,6.329098421121576,3.724306682369046,0.0,0.24452136114843734
1771970310082888571,robot1/odom,robot1/base_link,6.346528677861391,3.7286556767265173,0.0,0.24451037315062407
1771970310208063396,robot1/odom,robot1/base_link,6.3640157103477915,3.7330186377085286,0.0,0.24449989243859
1771970310310875599,robot1/odom,robot1/base_link,6.381446060519233,3.737367257879169,0.0,0.24448890469967824
1771970310394920763,robot1/odom,robot1/base_link,6.39893318669311,3.7417298434495194,0.0,0.2444784242436882
1771970310454236914,robot1/odom,robot1/base_link,6.416363630281849,3.7460780894392363,0.0,0.24446743674400606
1771970310504669952,robot1/odom,robot1/base_link,6.433850850131531,3.7504402996039157,0.0,0.2444569565169275
1771970310557614367,robot1/odom,robot1/base_link,6.451281387123433,3.7547881714175966,0.0,0.24444596922230294
1771970310588080672,robot1/odom,robot1/base_link,6.468768700633132,3.7591500061798513,0.0,0.24443548916469898
1771970310627050824,robot1/odom,robot1/base_link,6.486199330974943,3.7634975038087415,0.0,0.2444245018026743
1771970310670264000,robot1/odom,robot1/base_link,6.503686738279922,3.7678589632121744,0.0,0.24441402274930069
1771970310724269522,robot1/odom,robot1/base_link,6.521117462011101,3.77220608668598,0.0,0.2444030356231001
1771970310787055266,robot1/odom,robot1/base_link,6.5386049628252065,3.7765671706673487,0.0,0.24439255594367235
1771970310850242375,robot1/odom,robot1/base_link,6.544541660204482,3.77813366248457,0.0,0.2715788864598778
1771970310899407525,robot1/odom,robot1/base_link,6.549458525162333,3.779587997319907,0.0,0.3035917889502825
1771970310994064850,robot1/odom,robot1/base_link,6.552962066418168,3.7807548728103186,0.0,0.33941010601727184
1771970311061468674,robot1/odom,robot1/base_link,6.5632969720359835,3.7844748006903606,0.0,0.35159172877700134
1771970311237617061,robot1/odom,robot1/base_link,6.576012069595752,3.789138982711185,0.0,0.35157231903823527
1771970311298542753,robot1/odom,robot1/base_link,6.590051023281927,3.794274715901407,0.0,0.3498246025347233
1771970311356767194,robot1/odom,robot1/base_link,6.606054378648722,3.8001029643237128,0.0,0.3486936897391198
1771970311394723400,robot1/odom,robot1/base_link,6.623067020496049,3.8062849023648693,0.0,0.3483834127549658
1771970311435925208,robot1/odom,robot1/base_link,6.640054114653427,3.812454411003408,0.0,0.3483664684894805
1771970311514946134,robot1/odom,robot1/base_link,6.65695761632475,3.8185934335881146,0.0,0.3483702139740938
1771970311549886018,robot1/odom,robot1/base_link,6.673906515112285,3.824748965636226,0.0,0.3483687739583376
1771970311606593299,robot1/odom,robot1/base_link,6.690795312868934,3.8308825960071378,0.0,0.34836246419362443
1771970311704007132,robot1/odom,robot1/base_link,6.707736455957594,3.837035100634628,0.0,0.34835454886744194
1771970311757190737,robot1/odom,robot1/base_link,6.724622233436782,3.843167333278656,0.0,0.3483452099516831
1771970311812458750,robot1/odom,robot1/base_link,6.741563141930883,3.849319409861121,0.0,0.34833604354272296
1771970311863334167,robot1/odom,robot1/base_link,6.758448914375234,3.8554512825295575,0.0,0.3483262377134316
1771970311932801773,robot1/odom,robot1/base_link,6.775389466767601,3.8616028642770592,0.0,0.3483168904691171
1771970312003596952,robot1/odom,robot1/base_link,6.79227516055863,3.8677343413392884,0.0,0.34830698150874995
1771970312051061235,robot1/odom,robot1/base_link,6.809215951483459,3.873885640034986,0.0,0.3482975882308484
1771970312408092659,robot1/odom,robot1/base_link,6.826101816710988,3.8800168104777897,0.0,0.3482876831802934
1771970312570131839,robot1/odom,robot1/base_link,6.843042653206081,3.8861677556677057,0.0,0.3482782876951518
1771970312632252828,robot1/odom,robot1/base_link,6.8599286063051474,3.892298589100602,0.0,0.3482683781018636
1771970312693914260,robot1/odom,robot1/base_link,6.876869593295017,3.898449218768727,0.0,0.3482589821115007
1771970312751206808,robot1/odom,robot1/base_link,6.882358361461726,3.9005409851026083,0.0,0.3799557172843951
1771970312797308921,robot1/odom,robot1/base_link,6.887690005432486,3.90276429692988,0.0,0.410199708188616
1771970312836567485,robot1/odom,robot1/base_link,6.890651244167088,3.9041131259821293,0.0,0.444628403616082
1771970312902691792,robot1/odom,robot1/base_link,6.892180226253033,3.9048764753271596,0.0,0.48147173023355294
1771970312957764152,robot1/odom,robot1/base_link,6.8927694167313875,3.9051981860853733,0.0,0.5180956431629115
1771970313027919705,robot1/odom,robot1/base_link,6.901319740424816,3.9101437785580058,0.0,0.5306907301470025
1771970313087518071,robot1/odom,robot1/base_link,6.9127986409046365,3.916866514986387,0.0,0.52892703166116
1771970313133860134,robot1/odom,robot1/base_link,6.925513880701624,3.924277767920715,0.0,0.5265210651666813
1771970313194707078,robot1/odom,robot1/base_link,6.9391002367606065,3.9321597195065254,0.0,0.5248519501885289
1771970313299432250,robot1/odom,robot1/base_link,6.955049194164831,3.9413888398143664,0.0,0.5243181594797974
1771970313384649481,robot1/odom,robot1/base_link,6.970813083786021,3.950505380633107,0.0,0.5243303512045827
1771970313461648573,robot1/odom,robot1/base_link,6.986427069687609,3.959535865076059,0.0,0.5243791717831314
1771970313550146719,robot1/odom,robot1/base_link,7.00205424946641,3.9685747253369983,0.0,0.5244017996475441
1771970313616566149,robot1/odom,robot1/base_link,7.0176148697471294,3.977575375713483,0.0,0.5244069617917749
1771970313676308160,robot1/odom,robot1/base_link,7.033219574505001,3.9866015596456585,0.0,0.5244050644710998
1771970313724988465,robot1/odom,robot1/base_link,7.048771378276303,3.9955970636954254,0.0,0.5243992028261755
1771970313793049303,robot1/odom,robot1/base_link,7.064373144439426,4.004621337616749,0.0,0.5243926283110514
1771970313863088809,robot1/odom,robot1/base_link,7.0799239001706304,4.013615959325198,0.0,0.5243850282799352
1771970313905326367,robot1/odom,robot1/base_link,7.09552506826066,4.022639584750537,0.0,0.5243777390500323
1771970313970756213,robot1/odom,robot1/base_link,7.111075667053634,4.031633803632488,0.0,0.5243698443550164
1771970314057579690,robot1/odom,robot1/base_link,7.126676974989875,4.040657192641675,0.0,0.5243624429857872
1771970314131277394,robot1/odom,robot1/base_link,7.142227714790102,4.0496511752842625,0.0,0.5243545135014367
1771970314164837755,robot1/odom,robot1/base_link,7.157829105644391,4.058674292964626,0.0,0.5243471029248425
1771970314202809673,robot1/odom,robot1/base_link,7.173379959529044,4.0676680233005085,0.0,0.5243391788302787
1771970314284728757,robot1/odom,robot1/base_link,7.188981532660009,4.076690925377873,0.0,0.5243315995778326
1771970314336111759,robot1/odom,robot1/base_link,7.204532515141111,4.085684409633176,0.0,0.5243237985050644
1771970314381751724,robot1/odom,robot1/base_link,7.220134190316495,4.094707052378096,0.0,0.5243163985877887
1771970314430014143,robot1/odom,robot1/base_link,7.235685325573607,4.10370030825923,0.0,0.5243084746463468
1771970314511435399,robot1/odom,robot1/base_link,7.251287144176256,4.112722714889025,0.0,0.5243010723742156
1771970314564658008,robot1/odom,robot1/base_link,7.256792777954341,4.116032353595487,0.0,0.5582087571043155
1771970314616617043,robot1/odom,robot1/base_link,7.261647682411956,4.119161216050251,0.0,0.5867534386392088
1771970314802003871,robot1/odom,robot1/base_link,7.264373626999663,4.121040934295791,0.0,0.6206241337748915
1771970314833636018,robot1/odom,robot1/base_link,7.273039345282386,4.127298834199104,0.0,0.6302436492451997
1771970314879441894,robot1/odom,robot1/base_link,7.284081107184269,4.135358711200728,0.0,0.6308398805751179
1771970314933828370,robot1/odom,robot1/base_link,7.296202452331889,4.1441972323727,0.0,0.6292322835504042
1771970314998764863,robot1/odom,robot1/base_link,7.309171665689206,4.153625031173558,0.0,0.6279208246150654
1771970315075329216,robot1/odom,robot1/base_link,7.32417379057831,4.164510100521887,0.0,0.6274406353083455
1771970315248621339,robot1/odom,robot1/base_link,7.3388770228984,4.175173596476539,0.0,0.6275013692063832
1771970315310122483,robot1/odom,robot1/base_link,7.353530986708042,4.185802727051061,0.0,0.6275628502069708
1771970315387889121,robot1/odom,robot1/base_link,7.3680977746684295,4.196369602317407,0.0,0.6275892600818674
1771970315429211029,robot1/odom,robot1/base_link,7.382696059362591,4.206959707235488,0.0,0.6275971085916205
1771970315472208898,robot1/odom,robot1/base_link,7.3972409738784775,4.217511170460119,0.0,0.6275960077147807
1771970315533341828,robot1/odom,robot1/base_link,7.411831076149281,4.228095357569461,0.0,0.6275919782006311
1771970315593285315,robot1/odom,robot1/base_link,7.426372854184152,4.238644377861531,0.0,0.6275860348174843
1771970315652716684,robot1/odom,robot1/base_link,7.440961526006537,4.249227283539016,0.0,0.6275800581482928
1771970315707224973,robot1/odom,robot1/base_link,7.455502813046454,4.259775674818843,0.0,0.6275733682187429
1771970315877025968,robot1/odom,robot1/base_link,7.470091506222243,4.270358309314015,0.0,0.627566974427697
1771970315916128395,robot1/odom,robot1/base_link,7.4846328868733805,4.280906476554568,0.0,0.6275601423809262
1771970315971631320,robot1/odom,robot1/base_link,7.499221629877495,4.2914888533826305,0.0,0.62755380814673
1771970316046053181,robot1/odom,robot1/base_link,7.513763121583621,4.302036808557096,0.0,0.6275469376644541
1771970316166187460,robot1/odom,robot1/base_link,7.528352016481499,4.3126190013137125,0.0,0.6275405810626469
1771970316396088738,robot1/odom,robot1/base_link,7.542893663851981,4.323166776671509,0.0,0.6275337838632467
