t_ns,x,y,yaw,vx,wz
1771970269837546787,0.6817934201020346,-0.06876095912636794,1.6457373635504646,0.001049190063609547,1.0002793566067532
1771970269883504432,0.6817927486485316,-0.06875375584291522,1.6817479668365887,0.0010374105672857582,1.000275266474309
1771970269936828373,0.6817895216801508,-0.0687265997718521,1.6963963427732698,0.0009235326164232728,0.9409367681472561
1771970269993183972,0.681758403930563,-0.06848299069999532,1.6992931059808878,0.001582078055084948,0.8489583570970256
1771970270066165162,0.6817501779052414,-0.06841945400384161,1.6998049117449796,0.0015733114904076238,0.7503509016985547
1771970270115405510,0.6817414988977873,-0.0683525785154882,1.6999023024918494,0.0017388250039417931,0.650596957724367
1771970270172126969,0.6817435280041998,-0.06836820594523914,1.699930822711375,0.0015099562736235583,0.5506495232112257
1771970270251636392,0.681739332235245,-0.06833589757118932,1.6999488758848647,0.0015792482116603807,0.4506732243574662
1771970270261806102,0.6817431473718963,-0.06836527147288866,1.6999614065030209,0.0013125099238704948,0.35067991309037677
1771970270316632012,0.6817395834818707,-0.06833783458887796,1.6999730203602619,0.0013687356967987418,0.2506843061479325
1771970270400655897,0.6817436475998453,-0.068369119872527,1.6999829979815109,0.0010972049984517315,0.15068231786379024
1771970270455289443,0.6817402235475679,-0.06834276388929442,1.6999935853056438,0.0011509343595211146,0.05068227352508866
1771970270495769120,0.6817443443674541,-0.06837448060678052,1.7000031408783356,0.0009861269369828359,0.010018883625184096
1771970270532709654,0.6817409234211689,-0.06834815266538974,1.7000135642960137,0.00037768447047338517,0.0020012730975867365
1771970270570286771,0.6817816050476546,-0.06863735114353978,1.7210856112719382,-0.0006115327607355989,0.05911305424145609
1771970270667532897,0.6817849489167455,-0.06865720385388378,1.7542423159512415,-0.0008547816081791709,0.15094448183140047
1771970270773116575,0.6817924697336821,-0.06869407685562193,1.7897613990974304,-0.0009155470151627288,0.2495293788497511
1771970270834600048,0.6817814935372437,-0.06864861930137334,1.825681907754657,-0.0008761393061564413,0.34925842185997075
1771970270915791058,0.6817808108432277,-0.06864617991688526,1.8616744848522413,-0.0007868229866304273,0.44920299541377623
1771970270978046888,0.6785821991717291,-0.05806195377304086,1.86687614117551,0.029850210354346145,0.46361978004160714
1771970271073716381,0.6750561453295849,-0.046612841044212955,1.8722329509703017,0.06321506322215657,0.4784720916349464
1771970271129469624,0.6707001450652295,-0.03257405714669166,1.8710879338375745,0.10397194499438041,0.47526207925478375
1771970271351301025,0.6659926787664832,-0.017336680224424604,1.8697850734291337,0.14836072011600768,0.47161647930719885
1771970271403590848,0.6606586140202917,-1.2051232619620517e-05,1.8691650018461856,0.19864027845798377,0.46986510430546213
1771970271462762619,0.6553546175178188,0.01723607569727933,1.8690950641616402,0.24957716577794914,0.4111373691375856
1771970271503277156,0.6500604697755361,0.0344545086387707,1.8690888581579848,0.29967184451930945,0.3190181727961823
1771970271540200299,0.6447699607065426,0.05166146456348271,1.8690834002181032,0.34978169362739303,0.22033889200170065
1771970271583797831,0.6394809683460236,0.06886392508943492,1.869074567332508,0.3996439226358844,0.12053516549402295
1771970271642077276,0.6341926981001086,0.08606463574484555,1.8690638420756485,0.44962378606054454,0.02052599228739707
1771970271723674739,0.6289048403748446,0.10326468697529816,1.8690522804423106,0.46889471152209355,0.006044831296846828
1771970271784122959,0.6236172726937306,0.12046451334177338,1.8690403723406726,0.48560147125481523,-0.008868273971178906
1771970271871507884,0.6183299465993428,0.13766428748424764,1.8690283197870483,0.49475440616044725,-0.005721150140341947
1771970271944005436,0.6130430630656315,0.1548634741425529,1.8690125399616861,0.5004361954392668,-0.0021459262984627353
1771970272012828543,0.6077560132383586,0.17206394089055985,1.8690041830541047,0.5000681456295752,-0.0004467188668908521
1771970272194096122,0.6024693273698525,0.1892638544384359,1.8689919377927262,0.49992600227892076,-0.00028646213587290166
1771970272290657640,0.5971828582587873,0.20646380853615748,1.8689798300011928,0.49987067067158686,-0.0003028559910889018
1771970272346020042,0.5918965965800768,0.22366382998818385,1.8689677001536467,0.4998487918257778,-0.0003213890679349679
1771970272403831839,0.586610543384941,0.2408639161363954,1.8689555675052951,0.499840088585308,-0.000330555075590656
1771970272441321820,0.581324698757354,0.2580640668057095,1.8689434344276368,0.49983662206439156,-0.0003344656889225501
1771970272499259291,0.5760390627096187,0.2752642819627515,1.8689313015625593,0.4998352441754802,-0.0003360524437541324
1771970272535421246,0.5707536352427404,0.2924645615849228,1.8689191691333777,0.49983470106463707,-0.00033667557581947883
1771970272607302346,0.5654684163544287,0.30966490565009014,1.8689070372240457,0.4998344947368881,-0.00033689600834092094
1771970272612548866,0.5601834060412498,0.3268653141365841,1.8688949058633,0.4998362103734233,-0.0003267613844063391
1771970272704209094,0.5548986042995092,0.34406578702347484,1.8688827750544785,0.4998343922713673,-0.00033724444340697867
1771970272728882513,0.5496140111253264,0.3612663242891278,1.8688706447859131,0.49983434084437406,-0.00033692501892540504
1771970272950315622,0.5443296265161979,0.3784669259095974,1.868858515030827,0.4998343593822554,-0.0003369860287945193
1771970273225307607,0.5390454504734774,0.39566759185145667,1.868846385732675,0.49983436901484374,-0.00033698450270002773
1771970273281276725,0.5337614830083212,0.41286832205389923,1.8688342567394254,0.49983437748831683,-0.0003369743496399772
1771970273383980839,0.5284777241742183,0.430069116344606,1.8688221274194599,0.49983438483411813,-0.0003369639116024177
1771970273391152504,0.5231941744611203,0.44726997336502106,1.8688099906877755,0.49983438714444095,-0.0003369746521775137
